manage musical staff
supervise correctional procedures
apply anti-oppressive practices
control compliance of railway vehicles regulations
identify available services
perform toxicological studies
ensure coquille uniformity
show initiative
train staff to reduce food waste
apply diplomatic principles
lead police investigations
handle fish harvesting waste
develop energy saving concepts
perform street interventions in social work
work with soloists
conduct research on flora
install heat pump
design biomass installations
handle equipment while suspended
teach housekeeping skills
check train engines
influence public policies
manufacture ingredients
maintain aquaculture ponds
apply credit risk policy
handle customer requests related to cargo
draft scientific or academic papers and technical documentation
produce guitar components
operate agricultural machinery
control pyrotechnics stock
guarantee customer satisfaction
manufacture wearing apparel products
cure tobacco leaves
develop a rehabilitation programme
maintain inventory of cleaning supplies
supervise housekeeping operations
act as contact person during equipment incident
manage time in landscaping
advise on customs regulations
manage university department
develop terminology databases
repair electric bicycles
maintain sorting equipment
explain features in accommodation venue
purchase vehicle parts
inspect offshore constructions
adjust envelope cutting settings
prepare oils
purchase supplies
pursue excellence in the creation of food products
maintain personal hygiene standards when cleaning
liaise with typists
assess railway operations
practise extreme sports
adopt ways to foster biodiversity and animal welfare
provide chaperone for children on set
organise labour
use glass engraving tools
operate wrecking ball
evaluate garment quality
apply for refunds
perform a feasibility study for building management systems
peform small vessel administrative duties
advise on construction materials
maintain rotating equipment
develop blockchain innovative architectures
pump products for storage
attend to detail in casting processes
keep up to date on product knowledge
write Hungarian
monitor drilling fluid
develop efficiency plans for maritime shipping
tend packaging machines
advise on clay products handling
maintain drilling equipment
control tree diseases
analyse the artistic concept based on stage actions
migrate existing data
manage supplies
perform roof maintenance
define database physical structure
lay stones
assemble circus rigging equipment
manage documentation of prior learning assessments 
perform oral health diagnosis
search historical sources in archives
supervise performers' fights
develop script bible
operate radio equipment
remove contaminated materials
inspect paint quality
collect property financial information
trace financial transactions
contribute to quality physiotherapy services
install radiators
advise on care products for pets
operate remote sensing equipment
calculate stairs rise and run
empathise with outdoor groups
provide context to news stories
interpret circuit diagrams
draw up artistic production
install passenger service units
understand written Korean
keep records of bridge investigation findings
create model
follow procedures to control substances hazardous to health
assess visual impact of displays
select glassware for serving
check information on prescriptions
assume responsibility for maintaining a safe ship environment
follow hygienic practices in fishery operations
supervise work on design planning
measure trees
bend staves
select music for performance
tend electron beam welding machine
